COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
311,4300011650,POST BANANA NUT CRUN,15.5 O,14,2511521
311,4300011653,~POST BAN NUT CRUNCH,20.5 O,12,2511531
311,4300011760,POST SUGAR CRISP,18 OZ,10,2512001
311,4300011780,$POST GOLDEN CRISP 1,11 OZ,14,2512011
311,4300011817,POST ALPHA BITS,15 OZ,10,2511501
311,4300011862,POST MARSHMALLO ALPH,14 OZ,10,2512131
311,4300012550,POST BRAN'NOLA CEREA,16 OZ,12,2511450
311,4300012560,~PST BRN'NOLA W/RSNS,16 OZ,12,2511351
311,4300012600,POST GREAT GRAINS DB,16 OZ,12,2511301
311,4300012601,POST GRT GRAINS CRUN,16 OZ,14,2511301
311,4300012610,POST GRT GRNS RSN DA,16 OZ,12,2511321
311,4300012611,POST GRT GRAINS RAIS,16 OZ,14,2511321
311,4300012950,POST COCOA PEBBLES,11 OZ,12,251175
311,4300012951,POST COCOA PEBBLES,13 OZ,12,2511751
311,4300012965,COCOA PEBBLES ON BOX,17 OZ,10,9835141
311,4300012970,POST FRUITY PEBBLES,11 OZ,12,251180
311,4300012971,POST FRUITY PEBBLES,13 OZ,12,2511801
311,4300012974,FRUITY PEBBLES ON BO,17 OZ,10,9835121
311,4300012990,POST DINO PEBBLES,12.5OZ,12,2511851
311,4300018005,NABISCO SHREDDED WHE,15 OZ,12,2513201
311,4300018032,~NABISCO 100% BRAN,17 OZ,12,2513951
311,4300018050,POST SPOON SIZE SHRD,23.6 O,12,2513221
311,4300018054,NAB SPOON SIZE SHRED,17.2 O,12,2513051
311,4300018059,NABISCO WHEAT N BRAN,18 OZ,12,2513131
311,4300018155,~NABISCO FROSTED WHE,15 OZ,14,2513121
311,4300018160,POST FROSTED SHREDDE,19 OZ,12,2513001
311,4300099100,HOLIDAY HOME MAG SHI,1 CT,125,9835151
311,5200034844,POPEYE PUFFED WHEAT,6 OZ,12,2500650
311,5200034847,POPEYE PUFFED RICE,6 OZ,12,2500661
311,5200034916,POPEYE FRUIT CURLS C,14 OZ,12,2500651
311,5200034940,POPEYE SWEET CRUNCH,13 OZ,12,2500681
311,5537050440,LFSTREAM BRY GRANOLA,14.9OZ,6,2500800
311,5537050730,LIFESTREAM FRT & NUT,12.4OZ,6,2500820
311,5537051730,LIFESTREAM FRT & NUT,12.4OZ,6,2500820
311,5571206700,WEETABIX WHL WHT CER,7 OZ,12,2503440
311,7151801022,HODGSON MILLS OAT BR,16 OZ,12,250370
311,7276201213,FAMILIA,12 OZ,12,250403
311,7572514080,~GENERIC QUICK OATS,42 OZ,12,2501501
311,9166910113,SPIDERMAN CEREAL,12.5OZ,12,2514871
311,9166912111,SUNFLAKES CEREAL,15 OZ,12,2502560
311,79166910113,~SPIDERMAN CEREAL,12.5OZ,12,2514871
311,79166910359,~MUESLI W/ CRANBERRI,13.5OZ,12,2514791
311,79166910537,~RASPBERRY ALMOND MU,13.5OZ,12,2514761
311,79166910605,~MUESLI STRAWBERRY P,13.5OZ,12,2514831
311,79166913217,$ALMOND DELIGHT CERE,15 OZ,12,2514721
311,79166915516,RALSTON/WHEAT CHEX,16 OZ,14,2514901
311,79166918102,RALSTON RICE CHEX,12 OZ,14,2515201
311,79166918982,COOKIE CRISP CHOCOLA,11 OZ,12,2514851
311,79166919305,MULTI BRAN CHEX CERE,16 OZ,14,2514701
311,79166919541,RALSTON CORN CHEX,12 OZ,14,2515301
